data_level,dname,grade,subject,group,year_data,year_created,d,nm,rm
district,HARMONY PUBLIC SCHOOLS,3,read,all,2025,2025,610,317,0.52
district,IDEA PUBLIC SCHOOLS,3,read,all,2025,2025,346,110,0.32
district,INTERNATIONAL LEADERSHIP OF TEXAS,3,read,all,2025,2025,414,142,0.34
district,KIPP HOUSTON,3,read,all,2025,2025,1335,509,0.38
district,SCHOOL OF SCIENCE AND TECHNOLOGY,3,read,all,2025,2025,320,204,0.64
district,SMALL NETWORK AND SINGLE SITE CHARTERS,3,read,all,2025,2025,1711,643,0.38
district,TEXAS COLLEGE PREP ACADEMIES,3,read,all,2025,2025,141,40,0.28
district,CAYUGA ISD,3,read,all,2025,2025,42,26,0.62
district,ELKHART ISD,3,read,all,2025,2025,84,36,0.43
district,FRANKSTON ISD,3,read,all,2025,2025,55,34,0.62
district,NECHES ISD,3,read,all,2025,2025,31,19,0.61
district,PALESTINE ISD,3,read,all,2025,2025,209,86,0.41
district,WESTWOOD ISD,3,read,all,2025,2025,84,34,0.4
district,SLOCUM ISD,3,read,all,2025,2025,25,12,0.48
district,ANDREWS ISD,3,read,all,2025,2025,341,158,0.46
district,PINEYWOODS COMMUNITY ACADEMY,3,read,all,2025,2025,73,46,0.63
district,HUDSON ISD,3,read,all,2025,2025,183,90,0.49
district,LUFKIN ISD,3,read,all,2025,2025,486,182,0.37
district,HUNTINGTON ISD,3,read,all,2025,2025,101,46,0.46
district,DIBOLL ISD,3,read,all,2025,2025,92,38,0.41
district,ZAVALLA ISD,3,read,all,2025,2025,23,7,0.3
district,CENTRAL ISD,3,read,all,2025,2025,118,46,0.39
district,ROCKPORT-FULTON ISD,3,read,all,2025,2025,182,56,0.31
district,ARCHER CITY ISD,3,read,all,2025,2025,41,23,0.56
district,HOLLIDAY ISD,3,read,all,2025,2025,91,58,0.64
district,WINDTHORST ISD,3,read,all,2025,2025,45,38,0.84
district,CLAUDE ISD,3,read,all,2025,2025,17,14,0.82
district,CHARLOTTE ISD,3,read,all,2025,2025,34,9,0.26
district,JOURDANTON ISD,3,read,all,2025,2025,117,57,0.49
district,LYTLE ISD,3,read,all,2025,2025,119,38,0.32
district,PLEASANTON ISD,3,read,all,2025,2025,227,90,0.4
district,POTEET ISD,3,read,all,2025,2025,131,43,0.33
district,BELLVILLE ISD,3,read,all,2025,2025,172,79,0.46
district,SEALY ISD,3,read,all,2025,2025,222,78,0.35
district,BRAZOS ISD,3,read,all,2025,2025,49,24,0.49
district,MULESHOE ISD,3,read,all,2025,2025,103,40,0.39
district,MEDINA ISD,3,read,all,2025,2025,15,6,0.4
district,BANDERA ISD,3,read,all,2025,2025,159,58,0.36
district,BASTROP ISD,3,read,all,2025,2025,933,257,0.28
district,ELGIN ISD,3,read,all,2025,2025,430,119,0.28
district,SMITHVILLE ISD,3,read,all,2025,2025,132,72,0.55
district,MCDADE ISD,3,read,all,2025,2025,39,11,0.28
district,SEYMOUR ISD,3,read,all,2025,2025,47,16,0.34
district,ST MARY'S ACADEMY CHARTER SCHOOL,3,read,all,2025,2025,49,17,0.35
district,BEEVILLE ISD,3,read,all,2025,2025,221,82,0.37
district,PAWNEE ISD,3,read,all,2025,2025,13,5,0.38
district,PETTUS ISD,3,read,all,2025,2025,34,11,0.32
district,SKIDMORE-TYNAN ISD,3,read,all,2025,2025,55,25,0.45
district,PRIORITY CHARTER SCHOOLS,3,read,all,2025,2025,40,16,0.4
district,ORENDA CHARTER SCHOOL,3,read,all,2025,2025,140,85,0.61
district,ACADEMY ISD,3,read,all,2025,2025,138,83,0.6
district,BARTLETT ISD,3,read,all,2025,2025,26,5,0.19
district,BELTON ISD,3,read,all,2025,2025,988,447,0.45
district,HOLLAND ISD,3,read,all,2025,2025,46,31,0.67
district,KILLEEN ISD,3,read,all,2025,2025,3274,1530,0.47
district,ROGERS ISD,3,read,all,2025,2025,57,27,0.47
district,SALADO ISD,3,read,all,2025,2025,191,109,0.57
district,TEMPLE ISD,3,read,all,2025,2025,633,263,0.42
district,TROY ISD,3,read,all,2025,2025,109,44,0.4
district,GEORGE GERVIN ACADEMY,3,read,all,2025,2025,43,13,0.3
district,LEGACY TRADITIONAL SCHOOLS - TEXAS,3,read,all,2025,2025,176,80,0.45
district,SOUTHWEST PREPARATORY SCHOOL,3,read,all,2025,2025,69,16,0.23
district,INSPIRE ACADEMIES,3,read,all,2025,2025,61,22,0.36
district,BEXAR COUNTY ACADEMY,3,read,all,2025,2025,21,4,0.19
district,HERITAGE ACADEMY,3,read,all,2025,2025,14,3,0.21
district,JUBILEE ACADEMIES,3,read,all,2025,2025,495,140,0.28
